date,month,day,year,Call_Count,Temp_Avg
January/1/2013,January,1,2013,"4,897",33
January/1/2014,January,1,2014,"4,405",29
January/1/2015,January,1,2015,"4,583",33
January/1/2016,January,1,2016,"4,879",38
January/1/2017,January,1,2017,"4,928",44
February/1/2013,February,1,2013,"3,592",28
February/1/2014,February,1,2014,"3,545",41
February/1/2015,February,1,2015,"3,437",28
February/1/2016,February,1,2016,"4,124",52
February/1/2017,February,1,2017,"3,932",40
March/1/2013,March,1,2013,"3,638",41
March/1/2014,March,1,2014,"3,310",29
March/1/2015,March,1,2015,"3,590",28
March/1/2016,March,1,2016,"4,026",46
March/1/2017,March,1,2017,"3,961",62
April/1/2013,April,1,2013,"3,486",50
April/1/2014,April,1,2014,"3,897",50
April/1/2015,April,1,2015,"3,820",42
April/1/2016,April,1,2016,"4,346",70
April/1/2017,April,1,2017,"3,613",43
May/1/2013,May,1,2013,"3,552",58
May/1/2014,May,1,2014,"3,867",65
May/1/2015,May,1,2015,"4,046",56
May/1/2016,May,1,2016,"3,353",48
May/1/2017,May,1,2017,"4,346",62
June/1/2013,June,1,2013,"4,253",82
June/1/2014,June,1,2014,"3,572",66
June/1/2015,June,1,2015,"3,955",55
June/1/2016,June,1,2016,"4,170",75
June/1/2017,June,1,2017,"4,257",69
July/1/2013,July,1,2013,"3,791",75
July/1/2014,July,1,2014,"3,896",81
July/1/2015,July,1,2015,"3,992",76
July/1/2016,July,1,2016,"4,009",73
July/1/2017,July,1,2017,"4,184",78
August/1/2013,August,1,2013,"3,558",71
August/1/2014,August,1,2014,"3,817",78
August/1/2015,August,1,2015,"4,415",82
August/1/2016,August,1,2016,"4,000",75
August/1/2017,August,1,2017,"4,245",82
September/1/2013,September,1,2013,"3,669",80
September/1/2014,September,1,2014,"3,980",82
September/1/2015,September,1,2015,"4,136",83
September/1/2016,September,1,2016,"3,954",74
September/1/2017,September,1,2017,"3,972",63
October/1/2013,October,1,2013,"3,766",71
October/1/2014,October,1,2014,"3,644",63
October/1/2015,October,1,2015,"3,697",60
October/1/2016,October,1,2016,"3,704",59
October/1/2017,October,1,2017,"3,886",59
November/1/2013,November,1,2013,"4,178",65
November/1/2014,November,1,2014,"3,985",45
November/1/2015,November,1,2015,"4,318",60
November/1/2016,November,1,2016,"3,997",49
November/1/2017,November,1,2017,"4,100",51
December/1/2013,December,1,2013,"3,190",43
December/1/2014,December,1,2014,"3,872",54
December/1/2015,December,1,2015,"3,792",48
December/1/2016,December,1,2016,"4,125",48
December/1/2017,December,1,2017,"4,353",47
January/2/2013,January,2,2013,"3,752",28
January/2/2014,January,2,2014,"3,566",26
January/2/2015,January,2,2015,"3,703",39
January/2/2016,January,2,2016,"3,439",36
January/2/2017,January,2,2017,"3,685",39
February/2/2013,February,2,2013,"3,491",24
February/2/2014,February,2,2014,"3,384",48
February/2/2015,February,2,2015,"4,127",24
February/2/2016,February,2,2016,"4,077",44
February/2/2017,February,2,2017,"3,879",39
March/2/2013,March,2,2013,"3,435",36
March/2/2014,March,2,2014,"3,218",36
March/2/2015,March,2,2015,"3,887",33
March/2/2016,March,2,2016,"3,913",42
March/2/2017,March,2,2017,"3,828",50
April/2/2013,April,2,2013,"3,151",38
April/2/2014,April,2,2014,"3,898",48
April/2/2015,April,2,2015,"3,982",54
April/2/2016,April,2,2016,"3,897",55
April/2/2017,April,2,2017,"3,841",52
May/2/2013,May,2,2013,"3,774",61
May/2/2014,May,2,2014,"3,945",63
May/2/2015,May,2,2015,"3,987",61
May/2/2016,May,2,2016,"3,833",53
May/2/2017,May,2,2017,"4,409",69
June/2/2013,June,2,2013,"3,928",79
June/2/2014,June,2,2014,"4,040",70
June/2/2015,June,2,2015,"3,894",53
June/2/2016,June,2,2016,"4,073",70
June/2/2017,June,2,2017,"4,282",67
July/2/2013,July,2,2013,"3,758",77
July/2/2014,July,2,2014,"4,070",82
July/2/2015,July,2,2015,"4,178",75
July/2/2016,July,2,2016,"3,882",70
July/2/2017,July,2,2017,"4,036",80
August/2/2013,August,2,2013,"3,810",75
August/2/2014,August,2,2014,"3,570",69
August/2/2015,August,2,2015,"4,223",80
August/2/2016,August,2,2016,"4,101",74
August/2/2017,August,2,2017,"4,068",78
September/2/2013,September,2,2013,"3,580",78
September/2/2014,September,2,2014,"4,098",85
September/2/2015,September,2,2015,"4,131",83
September/2/2016,September,2,2016,"4,005",74
September/2/2017,September,2,2017,"3,885",61
October/2/2013,October,2,2013,"4,053",74
October/2/2014,October,2,2014,"3,880",66
October/2/2015,October,2,2015,"3,818",53
October/2/2016,October,2,2016,"3,710",60
October/2/2017,October,2,2017,"4,083",63
November/2/2013,November,2,2013,"3,691",62
November/2/2014,November,2,2014,"3,623",45
November/2/2015,November,2,2015,"4,003",59
November/2/2016,November,2,2016,"3,947",62
November/2/2017,November,2,2017,"4,489",65
December/2/2013,December,2,2013,"3,762",45
December/2/2014,December,2,2014,"3,654",39
December/2/2015,December,2,2015,"3,962",52
December/2/2016,December,2,2016,"4,164",46
December/2/2017,December,2,2017,"3,957",44
January/3/2013,January,3,2013,"3,993",28
January/3/2014,January,3,2014,"3,489",14
January/3/2015,January,3,2015,"3,614",38
January/3/2016,January,3,2016,"3,433",40
January/3/2017,January,3,2017,"4,302",41
February/3/2013,February,3,2013,"3,212",27
February/3/2014,February,3,2014,"3,769",35
February/3/2015,February,3,2015,"4,069",20
February/3/2016,February,3,2016,"3,904",51
February/3/2017,February,3,2017,"3,990",30
March/3/2013,March,3,2013,"3,302",35
March/3/2014,March,3,2014,"3,475",25
March/3/2015,March,3,2015,"3,888",30
March/3/2016,March,3,2016,"3,970",31
March/3/2017,March,3,2017,"3,858",32
April/3/2013,April,3,2013,"3,492",40
April/3/2014,April,3,2014,"3,938",57
April/3/2015,April,3,2015,"3,745",62
April/3/2016,April,3,2016,"3,501",42
April/3/2017,April,3,2017,"4,269",56
May/3/2013,May,3,2013,"3,854",58
May/3/2014,May,3,2014,"3,756",63
May/3/2015,May,3,2015,"4,321",66
May/3/2016,May,3,2016,"3,913",54
May/3/2017,May,3,2017,"4,114",58
June/3/2013,June,3,2013,"4,159",72
June/3/2014,June,3,2014,"3,872",76
June/3/2015,June,3,2015,"4,195",61
June/3/2016,June,3,2016,"3,989",67
June/3/2017,June,3,2017,"4,162",64
July/3/2013,July,3,2013,"3,861",78
July/3/2014,July,3,2014,"3,950",78
July/3/2015,July,3,2015,"4,071",74
July/3/2016,July,3,2016,"3,876",71
July/3/2017,July,3,2017,"4,115",80
August/3/2013,August,3,2013,"3,863",73
August/3/2014,August,3,2014,"3,549",71
August/3/2015,August,3,2015,"4,545",83
August/3/2016,August,3,2016,"3,941",73
August/3/2017,August,3,2017,"4,193",78
September/3/2013,September,3,2013,"3,599",75
September/3/2014,September,3,2014,"3,869",79
September/3/2015,September,3,2015,"4,303",84
September/3/2016,September,3,2016,"3,850",71
September/3/2017,September,3,2017,"3,578",64
October/3/2013,October,3,2013,"3,926",71
October/3/2014,October,3,2014,"4,253",64
October/3/2015,October,3,2015,"3,600",52
October/3/2016,October,3,2016,"3,842",66
October/3/2017,October,3,2017,"3,973",64
November/3/2013,November,3,2013,"3,549",46
November/3/2014,November,3,2014,"4,248",50
November/3/2015,November,3,2015,"3,847",60
November/3/2016,November,3,2016,"4,083",65
November/3/2017,November,3,2017,"4,532",63
December/3/2013,December,3,2013,"3,636",46
December/3/2014,December,3,2014,"3,721",44
December/3/2015,December,3,2015,"3,963",50
December/3/2016,December,3,2016,"3,732",44
December/3/2017,December,3,2017,"3,824",45
January/4/2013,January,4,2013,"3,945",34
January/4/2014,January,4,2014,"3,499",19
January/4/2015,January,4,2015,"3,477",49
January/4/2016,January,4,2016,"3,707",25
January/4/2017,January,4,2017,"4,450",43
February/4/2013,February,4,2013,"3,699",27
February/4/2014,February,4,2014,"3,887",29
February/4/2015,February,4,2015,"4,074",34
February/4/2016,February,4,2016,"4,027",52
February/4/2017,February,4,2017,"3,744",28
March/4/2013,March,4,2013,"3,516",35
March/4/2014,March,4,2014,"3,429",21
March/4/2015,March,4,2015,"3,891",40
March/4/2016,March,4,2016,"4,069",35
March/4/2017,March,4,2017,"3,523",24
April/4/2013,April,4,2013,"3,551",43
April/4/2014,April,4,2014,"4,001",44
April/4/2015,April,4,2015,"3,714",51
April/4/2016,April,4,2016,"3,965",37
April/4/2017,April,4,2017,"4,000",48
May/4/2013,May,4,2013,"3,572",59
May/4/2014,May,4,2014,"3,583",60
May/4/2015,May,4,2015,"4,491",71
May/4/2016,May,4,2016,"3,964",50
May/4/2017,May,4,2017,"4,205",56
June/4/2013,June,4,2013,"4,089",66
June/4/2014,June,4,2014,"3,941",73
June/4/2015,June,4,2015,"3,979",60
June/4/2016,June,4,2016,"3,970",75
June/4/2017,June,4,2017,"3,855",63
July/4/2013,July,4,2013,"3,692",81
July/4/2014,July,4,2014,"3,377",70
July/4/2015,July,4,2015,"3,897",72
July/4/2016,July,4,2016,"3,800",75
July/4/2017,July,4,2017,"3,923",78
August/4/2013,August,4,2013,"3,581",73
August/4/2014,August,4,2014,"3,905",77
August/4/2015,August,4,2015,"4,379",79
August/4/2016,August,4,2016,"3,926",74
August/4/2017,August,4,2017,"4,329",77
September/4/2013,September,4,2013,"3,560",74
September/4/2014,September,4,2014,"4,082",78
September/4/2015,September,4,2015,"4,154",79
September/4/2016,September,4,2016,"3,689",73
September/4/2017,September,4,2017,"3,966",71
October/4/2013,October,4,2013,"3,843",76
October/4/2014,October,4,2014,"3,691",61
October/4/2015,October,4,2015,"3,598",58
October/4/2016,October,4,2016,"3,656",65
October/4/2017,October,4,2017,"4,190",66
November/4/2013,November,4,2013,"3,541",41
November/4/2014,November,4,2014,"3,797",61
November/4/2015,November,4,2015,"3,921",63
November/4/2016,November,4,2016,"4,129",54
November/4/2017,November,4,2017,"3,831",51
December/4/2013,December,4,2013,"3,723",47
December/4/2014,December,4,2014,"3,759",41
December/4/2015,December,4,2015,"3,931",47
December/4/2016,December,4,2016,"3,512",43
December/4/2017,December,4,2017,"4,340",46
January/5/2013,January,5,2013,"3,420",37
January/5/2014,January,5,2014,"4,156",34
January/5/2015,January,5,2015,"4,018",35
January/5/2016,January,5,2016,"3,614",20
January/5/2017,January,5,2017,"3,957",31
February/5/2013,February,5,2013,"3,579",30
February/5/2014,February,5,2014,"3,532",32
February/5/2015,February,5,2015,"3,849",28
February/5/2016,February,5,2016,"4,007",38
February/5/2017,February,5,2017,"3,773",37
March/5/2013,March,5,2013,"3,647",40
March/5/2014,March,5,2014,"3,644",33
March/5/2015,March,5,2015,"3,721",30
March/5/2016,March,5,2016,"3,876",35
March/5/2017,March,5,2017,"3,361",26
April/5/2013,April,5,2013,"3,715",53
April/5/2014,April,5,2014,"3,737",47
April/5/2015,April,5,2015,"3,469",52
April/5/2016,April,5,2016,"3,877",35
April/5/2017,April,5,2017,"4,175",55
May/5/2013,May,5,2013,"3,611",55
May/5/2014,May,5,2014,"3,957",60
May/5/2015,May,5,2015,"4,391",76
May/5/2016,May,5,2016,"3,787",52
May/5/2017,May,5,2017,"4,046",55
June/5/2013,June,5,2013,"3,975",66
June/5/2014,June,5,2014,"3,679",69
June/5/2015,June,5,2015,"4,058",63
June/5/2016,June,5,2016,"3,585",68
June/5/2017,June,5,2017,"4,271",63
July/5/2013,July,5,2013,"4,362",83
July/5/2014,July,5,2014,"3,942",72
July/5/2015,July,5,2015,"4,139",76
July/5/2016,July,5,2016,"4,295",78
July/5/2017,July,5,2017,"4,399",78
August/5/2013,August,5,2013,"3,578",70
August/5/2014,August,5,2014,"3,886",81
August/5/2015,August,5,2015,"4,253",80
August/5/2016,August,5,2016,"3,993",76
August/5/2017,August,5,2017,"3,911",74
September/5/2013,September,5,2013,"3,386",72
September/5/2014,September,5,2014,"4,033",80
September/5/2015,September,5,2015,"3,933",75
September/5/2016,September,5,2016,"3,812",75
September/5/2017,September,5,2017,"4,201",77
October/5/2013,October,5,2013,"3,535",70
October/5/2014,October,5,2014,"3,509",54
October/5/2015,October,5,2015,"4,116",60
October/5/2016,October,5,2016,"4,001",60
October/5/2017,October,5,2017,"4,257",74
November/5/2013,November,5,2013,"3,274",48
November/5/2014,November,5,2014,"3,781",60
November/5/2015,November,5,2015,"3,968",64
November/5/2016,November,5,2016,"3,598",53
November/5/2017,November,5,2017,"4,084",56
December/5/2013,December,5,2013,"3,801",54
December/5/2014,December,5,2014,"3,715",39
December/5/2015,December,5,2015,"3,809",46
December/5/2016,December,5,2016,"4,145",44
December/5/2017,December,5,2017,"4,213",56
January/6/2013,January,6,2013,"3,442",40
January/6/2014,January,6,2014,"4,062",37
January/6/2015,January,6,2015,"3,967",21
January/6/2016,January,6,2016,"3,913",33
January/6/2017,January,6,2017,"4,097",29
February/6/2013,February,6,2013,"3,521",34
February/6/2014,February,6,2014,"4,040",27
February/6/2015,February,6,2015,"3,877",20
February/6/2016,February,6,2016,"3,798",35
February/6/2017,February,6,2017,"4,153",43
March/6/2013,March,6,2013,"3,366",40
March/6/2014,March,6,2014,"3,411",24
March/6/2015,March,6,2015,"4,133",20
March/6/2016,March,6,2016,"3,749",38
March/6/2017,March,6,2017,"3,860",36
April/6/2013,April,6,2013,"3,451",44
April/6/2014,April,6,2014,"3,487",49
April/6/2015,April,6,2015,"3,886",53
April/6/2016,April,6,2016,"3,895",39
April/6/2017,April,6,2017,"3,946",47
May/6/2013,May,6,2013,"3,978",58
May/6/2014,May,6,2014,"3,822",62
May/6/2015,May,6,2015,"4,237",66
May/6/2016,May,6,2016,"3,936",51
May/6/2017,May,6,2017,"4,031",60
June/6/2013,June,6,2013,"3,816",65
June/6/2014,June,6,2014,"4,074",69
June/6/2015,June,6,2015,"3,937",68
June/6/2016,June,6,2016,"4,309",74
June/6/2017,June,6,2017,"3,898",55
July/6/2013,July,6,2013,"3,827",85
July/6/2014,July,6,2014,"3,673",75
July/6/2015,July,6,2015,"4,328",78
July/6/2016,July,6,2016,"4,172",83
July/6/2017,July,6,2017,"3,967",74
August/6/2013,August,6,2013,"3,652",73
August/6/2014,August,6,2014,"3,709",77
August/6/2015,August,6,2015,"4,125",75
August/6/2016,August,6,2016,"4,051",80
August/6/2017,August,6,2017,"3,762",70
September/6/2013,September,6,2013,"3,572",65
September/6/2014,September,6,2014,"4,113",79
September/6/2015,September,6,2015,"3,929",76
September/6/2016,September,6,2016,"3,845",76
September/6/2017,September,6,2017,"3,789",67
October/6/2013,October,6,2013,"3,449",68
October/6/2014,October,6,2014,"4,133",60
October/6/2015,October,6,2015,"4,257",63
October/6/2016,October,6,2016,"3,983",64
October/6/2017,October,6,2017,"4,344",75
November/6/2013,November,6,2013,"3,594",55
November/6/2014,November,6,2014,"3,790",53
November/6/2015,November,6,2015,"4,090",70
November/6/2016,November,6,2016,"3,868",52
November/6/2017,November,6,2017,"4,305",56
December/6/2013,December,6,2013,"3,800",50
December/6/2014,December,6,2014,"3,637",45
December/6/2015,December,6,2015,"3,625",46
December/6/2016,December,6,2016,"4,051",42
December/6/2017,December,6,2017,"4,124",50
January/7/2013,January,7,2013,"4,006",41
January/7/2014,January,7,2014,"3,613",12
January/7/2015,January,7,2015,"3,561",16
January/7/2016,January,7,2016,"3,862",39
January/7/2017,January,7,2017,"3,948",23
February/7/2013,February,7,2013,"3,542",29
February/7/2014,February,7,2014,"3,770",28
February/7/2015,February,7,2015,"3,626",33
February/7/2016,February,7,2016,"3,539",40
February/7/2017,February,7,2017,"4,009",39
March/7/2013,March,7,2013,"3,284",36
March/7/2014,March,7,2014,"3,671",32
March/7/2015,March,7,2015,"3,781",28
March/7/2016,March,7,2016,"4,353",48
March/7/2017,March,7,2017,"3,801",49
April/7/2013,April,7,2013,"3,346",48
April/7/2014,April,7,2014,"3,939",48
April/7/2015,April,7,2015,"3,679",52
April/7/2016,April,7,2016,"3,948",53
April/7/2017,April,7,2017,"4,173",46
May/7/2013,May,7,2013,"3,757",63
May/7/2014,May,7,2014,"3,901",60
May/7/2015,May,7,2015,"4,287",68
May/7/2016,May,7,2016,"3,690",54
May/7/2017,May,7,2017,"3,758",52
June/7/2013,June,7,2013,"3,632",61
June/7/2014,June,7,2014,"3,858",71
June/7/2015,June,7,2015,"3,928",65
June/7/2016,June,7,2016,"4,116",75
June/7/2017,June,7,2017,"4,030",59
July/7/2013,July,7,2013,"3,936",85
July/7/2014,July,7,2014,"3,882",81
July/7/2015,July,7,2015,"4,289",82
July/7/2016,July,7,2016,"4,363",83
July/7/2017,July,7,2017,"4,109",74
